Wer glücklich reisen will, reise mit leichtem Gepäck.;Antoine de Saint-Exupery
Alles in allem wird deutlich, daß die Zukunft große Chancen bereithält - sie enthält aber auch Fallstricke. Der Trick ist, den Fallstricken aus dem Weg zu gehen, die Chancen zu ergreifen und bis sechs Uhr wieder zu Hause zu sein.;Woody Allen (1935)
Die Erfahrung ist wie eine Laterne im Rücken, sie beleuchtet stets nur das Stück Weg, das wir bereits hinter uns haben.;Konfuzius
Ja, ich bin jetzt Deutschland-Fan. Deutschland ist wirklich super, mit Problemen zwar, aber wer hat die nicht? Ich fordere eine Weltreise für jeden Deutschen! Zehn Prozent käme nicht mehr zurück, weil sie es woanders besser finden - und der Rest kommt über die Grenze und sagt: 'Danke, dass ich wieder rein darf!';Harald Schmidt
A child on a farm sees a plane fly by overhead and dreams of a faraway place A traveler on the plane sees the farmhouse and dreams of home ;Carl Burns
A good traveler has no fixed plans, and is not intent on arriving.;Lao Tzu
Achte auf deine Gedanken - sie sind der Anfang deiner Taten.;aus China
Alkohol ist nicht die Antwort. Hilft aber, die Frage nicht so ernst zu nehmen.;Klaus Klages
All I can do is be me, whoever that is.;Bob Dylan
Als deutscher Tourist im Ausland steht man vor der Frage, ob man sich anständig benehmen muss oder ob schon deutsche Touristen da gewesen sind.;Kurt Tucholsky
Auch der Vielgereiste fuhr nur bis zur Grenze seines Horizonts.;Martin Gerhard Reisenberg,
Auf den Alkohol – den Ursprung und die Lösung aller zivilisatorischen Probleme;Homer Simpson
Begib dich einmal imJahr an einen Ort, an dem du noch nicht gewesen bist;Dalai Lama
Bereits die Einstellung, sich weniger Sorgen zu machen, kann für mehr Freude im Leben sorgen.;Ernst Ferstl
Bildung ist etwas Wunderbares. Doch sollte man sich von Zeit zu Zeit daran erinnern, dass wirklich Wissenswertes nicht gelehrt werden kann.;Oscar Wilde
Bis zur Unendlichkeit und darüber hinaus!;Buzz Lightyear
"Certainly, travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living.";Miriam Beard
Das Geld, das man besitzt, ist das Mittel zur Freiheit, dasjenige, dem man nachjagt, das Mittel zur Knechtschaft.;Jean-Jaques Rousseau
Das Halbverstandene und Halberfahrene ist nicht die Vorstufe der Bildung, sondern ihr Todfeind.;Theodor Adorno
Das Leben hat keinen Sinn außer dem, den wir ihm geben.;Thornton Wilder
Das Leben ist eine Reise. Nimm nicht zu viel Gepäck mit.;Billy Idol
Das Leben ist wie ein Buch, und wer nicht reist, liest nur ein wenig davon!;Jean Paul
